x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x12 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30
04 02 02 02 02 02 02 02 01 05 01 02 02 02 04 02 05 02 01 02 03 01 01 06 04 05 02 03 
03 02 02 02 02 02 02 02 01 03 02 03 02 01 07 01 03 21 01 01 01 01 02 01 04 03 04 12 
03 02 02 02 02 02 02 02 02 05 02 04 02 02 02 01 03 02 01 01 03 01 01 06 04 03 01 07 
03 01 01 01 01 01 01 01 02 03 02 01 01 01 07 02 03 02 01 02 03 01 01 06 03 03 04 11 
05 02 02 02 02 02 02 02 01 02 01 04 01 01 05 01 03 19 01 04 01 01 03 02 04 04 02 07 
01 01 01 02 01 01 01 01 02 02 02 01 02 02 04 01 05 20 01 01 01 01 03 06 05 04 04 10 
07 02 02 02 02 02 02 02 01 02 02 01 02 02 03 01 03 02 01 01 03 01 01 01 04 03 01 03 
02 02 02 02 02 02 02 02 02 04 01 01 02 02 03 02 05 19 01 01 01 01 06 07 04 03 02 07 
07 02 02 02 02 02 02 02 02 02 01 03 03 02 03 01 01 02 01 03 03 01 01 06 02 03 04 10 
05 02 02 02 02 02 02 02 02 02 01 02 01 01 02 02 03 15 01 01 02 01 05 06 04 04 02 02 
04 02 02 02 02 02 02 02 01 03 02 03 02 02 02 02 02 02 01 01 03 01 01 06 03 04 01 03 
02 02 02 02 02 02 02 02 02 02 01 01 01 01 03 01 04 12 01 01 02 01 03 02 05 05 01 04 
02 02 02 02 02 02 02 02 01 02 01 01 01 01 03 02 03 08 01 01 03 01 01 06 07 03 03 08 
04 02 02 02 02 02 02 02 03 03 02 01 02 01 01 01 03 08 01 02 03 01 01 06 06 03 04 10 
03 02 02 02 02 02 02 02 01 03 01 01 03 01 02 01 04 06 01 01 03 01 01 02 04 05 02 08 
06 02 02 02 02 02 02 02 02 03 02 01 02 01 07 01 01 01 01 05 03 01 01 07 06 03 01 07 
01 02 02 02 02 02 02 02 02 03 02 01 02 02 03 02 03 02 01 01 03 01 01 01 03 03 04 10 
07 02 01 01 01 01 01 01 01 03 02 03 01 01 09 02 04 01 01 02 03 01 01 01 05 03 02 06 
03 02 02 02 02 02 02 02 02 03 02 01 01 01 03 02 04 06 01 01 03 01 01 07 04 04 02 01 
03 02 02 02 02 02 02 02 03 03 02 01 01 01 02 02 05 06 01 02 03 01 01 06 05 04 04 05 
04 02 02 02 02 02 02 02 01 02 02 02 01 01 02 01 03 06 01 01 03 01 01 01 05 03 01 04 
04 02 02 02 02 02 02 02 02 03 02 03 01 01 08 02 04 08 01 01 03 01 01 05 04 03 04 02 
05 02 02 02 02 02 02 02 01 03 02 01 01 01 07 01 02 04 01 02 03 01 01 02 05 03 04 04 
06 02 02 02 02 02 02 02 01 03 02 03 01 02 07 02 03 02 01 03 03 01 01 01 05 04 02 03 
04 02 02 02 02 02 02 02 01 04 02 01 02 01 03 01 04 02 01 04 03 01 01 07 04 03 04 07 
04 02 02 02 02 02 02 02 01 03 02 01 02 01 05 02 02 04 01 01 03 01 01 06 05 03 04 11 
04 02 02 02 02 02 02 02 02 03 02 03 02 01 07 02 03 02 01 02 03 01 01 07 01 04 04 06 
01 02 01 01 01 01 01 01 01 03 02 02 02 01 04 01 03 06 01 01 03 01 01 06 05 04 04 10 
02 02 01 02 01 01 02 01 02 02 01 01 01 02 03 03 04 02 01 03 03 01 01 01 04 04 04 12 
04 02 02 02 02 02 02 02 03 03 01 01 01 01 01 01 03 04 01 01 03 01 01 07 03 05 01 08 
03 02 02 02 02 02 02 02 02 03 02 04 02 02 07 02 04 06 01 01 03 01 01 05 04 03 04 07 
06 02 02 02 02 02 02 02 01 02 02 01 01 01 01 02 03 08 01 01 03 01 01 01 07 03 01 05 
01 02 02 02 02 02 02 02 02 02 02 03 02 02 04 01 05 06 01 01 03 01 01 06 04 05 03 03 
01 02 02 02 02 02 02 02 01 03 01 01 02 01 02 01 03 10 01 01 03 01 03 06 03 03 01 05 
01 02 02 02 02 02 02 02 01 03 01 03 01 01 02 01 02 06 01 01 03 01 01 02 03 03 02 02 
02 02 02 02 02 02 02 02 01 05 02 04 02 01 05 02 03 10 02 05 03 01 04 01 08 03 04 01 
08 02 02 02 02 02 02 02 03 02 01 03 01 01 01 03 04 11 01 01 03 01 04 06 04 04 04 09 
05 02 02 02 02 02 02 02 02 02 02 02 01 01 03 01 04 11 01 02 03 01 04 01 02 04 04 10 
03 02 01 01 01 01 01 01 02 02 02 01 02 01 08 02 03 11 01 01 03 01 05 06 05 03 04 01 
04 02 02 02 02 02 02 02 01 03 02 01 01 01 07 01 05 10 01 02 03 01 03 01 04 03 01 06 
08 02 02 02 02 02 02 02 02 04 02 01 01 01 02 01 04 10 01 02 03 01 04 01 05 03 04 09 
